Проверки целостности FSP
Декларация проверок валидатора. Публикация разрешена только при нулевом количестве блокирующих ошибок; расхождение этого реестра с кодом валидатора само является блокирующей ошибкой.
Проверка,Ошибок,Статус,Блокирует,Область
Дубли кодов услуг,0,OK,да,core
Неизвестные услуги в связях категорий,0,OK,да,core
Неизвестные категории в связях,0,OK,да,core
Дубли связей услуга-категория,0,OK,да,core
Неизвестные услуги в параметрах услуг,0,OK,да,core
Неизвестные коды параметров,0,OK,да,core
Дубли связей услуга-параметр,0,OK,да,core
Неиспользуемые параметры,0,OK,да,core
Отраслевые услуги без категории,0,OK,да,core
Базовые услуги без any,0,OK,да,core
Дубли кодов материалов,0,OK,да,core
Неизвестные услуги в метриках услуг,0,OK,да,core
Неизвестные коды метрик,0,OK,да,core
Дубли связей услуга-метрика,0,OK,да,core
Дубли кодов исключений,0,OK,да,core
Исключённые коды попали в каталог,0,OK,да,core
Реестр пунктов назначения,0,OK,да,core
Дубли полей сущностей модели,0,OK,да,pricing
Дубли полей условий цены,0,OK,да,pricing
Дубли кодов переменных диапазонов,0,OK,да,pricing
Дубли кодов областей диапазонов,0,OK,да,pricing
Переменные диапазонов без источника значения,0,OK,да,pricing
Неизвестные области в переменных диапазонов,0,OK,да,pricing
Недопустимые режимы диапазонов,0,OK,да,pricing
Уровни соответствия и методы расчёта,0,OK,да,pricing
Сущности модели цены без уровня соответствия,0,OK,да,pricing
Коды причин непокрытия,0,OK,да,quote
Манифесты модулей заполнены,0,OK,да,Протокол
Реестры модулей не расходятся с файлами,0,OK,да,Протокол
Зависимости модулей,0,OK,да,Протокол
Префиксы правил не объявлены в манифесте,0,OK,да,Протокол
Дубли ID нормативных правил,0,OK,да,Протокол
Перечисления схем расходятся с реестрами,0,OK,да,Протокол
Ссылки $ref в схемах модулей,0,OK,да,Протокол
Примеры манифестов в profile/examples,0,OK,да,Протокол
Ступенчатые строки импорта без обязательных полей,0,OK,да,Приложение
Методы расчёта импорта вне реестра,0,OK,да,Приложение
Единицы начисления импорта не разрешены для услуги,0,OK,да,Приложение
Строки импорта с целью price_adjustment,0,OK,да,Приложение
"Шкалы, области и режимы импорта вне реестров",0,OK,да,Приложение
Разрывы и пересечения ступеней в импорте,0,OK,да,Приложение
Реестр проверок расходится с валидатором,0,OK,да,Приложение
