Метрики тарификации
Закрытый справочник допустимых billing_metric и правил округления.
Код,Название,Измерение,Округление по умолчанию,Активна
batches,партия,quantity,ceil:1,True
box_days,коробо-день,time,ceil:1,True
boxes,короб,quantity,ceil:1,True
cards,карточка,quantity,ceil:1,True
cargo_place_days,место-день,time,ceil:1,True
cargo_places,грузовое место,quantity,ceil:1,True
crates,обрешётка,quantity,ceil:1,True
declared_value_rub,"объявленная стоимость, ₽",money,half_up:0.01,True
deliveries,рейс,quantity,ceil:1,True
distance_km,км,distance,half_up:0.1,True
hours,час,time,ceil:0.25,True
inserts,вложение,quantity,ceil:1,True
item_days,товаро-день,time,ceil:1,True
items,товар,quantity,ceil:1,True
labels,этикетка или стикер,quantity,ceil:1,True
layers,слой обмотки,quantity,ceil:1,True
months,месяц,quantity,ceil:1,True
operations,операция,quantity,ceil:1,True
order_lines,строка заказа,quantity,ceil:1,True
orders,заказ,quantity,ceil:1,True
pallet_days,паллето-день,time,ceil:1,True
pallets,паллета,quantity,ceil:1,True
requests,заявка,quantity,ceil:1,True
serial_numbers,серийный номер,quantity,ceil:1,True
sets,набор,quantity,ceil:1,True
tags,бирка,quantity,ceil:1,True
turnover_rub,"оборот, ₽",money,half_up:0.01,True
vehicles,машина,quantity,ceil:1,True
volume_m3,м³,volume,half_up:0.000001,True
volume_m3_days,м³-день,volume,half_up:0.000001,True
weight_kg,кг,mass,half_up:0.001,True
images,изображение,quantity,ceil:1,True
pages,страница,quantity,ceil:1,True
skus,SKU,quantity,ceil:1,True
supplies,поставка,quantity,ceil:1,True
shipments,отправление,quantity,ceil:1,True
area_m2,м²,area,half_up:0.01,True
length_m,м,length,half_up:0.01,True
days,день,time,ceil:1,True
weeks,неделя,time,ceil:1,True
videos,видео,quantity,ceil:1,True
shoots,съёмка,quantity,ceil:1,True
documents,документ,quantity,ceil:1,True
slides,слайд,quantity,ceil:1,True
purchase_value_rub,"сумма закупки, ₽",money,half_up:0.01,True
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
