Стандартный каталог услуг фулфилмента
Код,Стандартное название,Допустимые метрики (витрина),Названия метрик (витрина),Типовые параметры,Параметры стандарта,Описание,Тип услуги
Поступление
supplier_pickup,Забор товара у поставщика,items; boxes; pallets; cargo_places; vehicles; deliveries; distance_km; weight_kg; volume_m3; hours,товар; короб; паллета; грузовое место; машина; рейс; км; кг; м³; час,маршрут; тип транспорта,route_id; transport_type,Забор груза со склада клиента; способ начисления задаётся в price_rules.billing_metric,base
inbound_unloading,Разгрузка,items; boxes; pallets; cargo_places; vehicles; weight_kg; volume_m3; hours,товар; короб; паллета; грузовое место; машина; кг; м³; час,способ разгрузки,loading_method; handling_unit,Ручная или механизированная разгрузка; конкретная база начисления задаётся в price_rules.billing_metric,base
crate_removal,Снятие обрешётки,items; boxes; pallets; cargo_places; crates; volume_m3; hours,товар; короб; паллета; грузовое место; обрешётка; м³; час,тип обрешётки; способ снятия; утилизация материала,crate_type; removal_method; waste_disposal_included,Снятие транспортной обрешётки и отделение товара,base
goods_acceptance,Приёмка товара,items; boxes; pallets; cargo_places; hours,товар; короб; паллета; грузовое место; час,тип приёмки,acceptance_type; handling_unit,Количество и соответствие поставке,base
goods_sorting,Сортировка товара,items; boxes; pallets; cargo_places; batches; hours,товар; короб; паллета; грузовое место; партия; час,правило сортировки,sorting_rule,"Разделение по SKU, партиям или назначениям",base
goods_identification,Идентификация товара,items; boxes; cargo_places; hours,товар; короб; грузовое место; час,способ идентификации,identification_method,Определение SKU и карточки товара,base
quality_inspection,Проверка качества,items; boxes; batches; hours,товар; короб; партия; час,уровень проверки,inspection_level,"Визуальная, детальная или полная",base
dimension_measurement,Измерение габаритов и веса,items; boxes; pallets; cargo_places; hours,товар; короб; паллета; грузовое место; час,набор измерений,measurement_set,"Длина, ширина, высота и вес",base
putaway,Размещение на хранение,items; boxes; pallets; cargo_places; volume_m3; hours,товар; короб; паллета; грузовое место; м³; час,зона хранения,storage_zone; handling_unit,Перемещение в адрес хранения,base
Обработка
old_label_removal,Удаление старой маркировки,items; labels; hours,товар; этикетка или стикер; час,тип маркировки,marking_type,Снятие старого ШК или стикера,base
product_marking,Нанесение маркировки,items; labels; hours; orders,товар; этикетка или стикер; час; заказ,тип маркировки,marking_type,Печать и нанесение маркировки,base
kitting,Комплектация набора,sets; items; hours,набор; товар; час,состав набора,kit_composition,Объединение нескольких SKU,base
promotional_insert,Вложение листовки или подарка,orders; items; inserts; hours,заказ; товар; вложение; час,тип вложения,insert_type,Промоматериалы и образцы,base
repacking,Переупаковка товара,items; orders; boxes; pallets; hours,товар; заказ; короб; паллета; час,исходная / новая упаковка,source_packaging_type; target_packaging_type,Замена или восстановление упаковки,base
Одежда
tag_handling,Работа с биркой,items; tags; hours,товар; бирка; час,добавить; снять; заменить,tag_action,Бирка и биркодержатель,industry
apparel_steaming,Отпаривание изделия,items; hours,товар; час,тип изделия,apparel_type,Категорийная услуга для одежды,industry
hanger_preparation,Подготовка товара на плечиках,items; hours,товар; час,тип чехла / плечиков,hanger_type; garment_cover_type,Размещение на плечиках и защита,industry
Сборка и упаковка
item_picking,Подбор товара,items; order_lines; orders; boxes; hours,товар; строка заказа; заказ; короб; час,FBO / FBS; способ подбора,fulfillment_scheme; picking_method,Отбор товара из хранения,base
order_assembly,Сборка заказа,orders; order_lines; items; boxes; hours,заказ; строка заказа; товар; короб; час,FBO / FBS,fulfillment_scheme,Формирование состава заказа,base
product_packaging,Упаковка товара,items; orders; sets; boxes; hours,товар; заказ; набор; короб; час,тип упаковки,packaging_type; material_included,"Пакет, короб, ВПП, сейф-пакет",base
carton_formation,Формирование короба,boxes; hours,короб; час,размер короба,carton_size,Сборка и заполнение короба,base
pallet_formation,Паллетирование,pallets; boxes; cargo_places; hours,паллета; короб; грузовое место; час,схема укладки,pallet_layout,Размещение коробов на паллете,base
pallet_wrapping,Стрейчевание,pallets; layers; hours,паллета; слой обмотки; час,количество слоёв,wrap_layers,Обмотка паллеты стрейч-плёнкой для фиксации груза,base
Хранение
storage,Хранение,item_days; box_days; pallet_days; cargo_place_days; volume_m3_days; liter_days,товаро-день; коробо-день; паллето-день; место-день; м³-день; литро-день,зона; режим хранения,storage_zone; storage_mode; handling_unit,Базовое хранение,base
secure_storage,Ответственное хранение,item_days; box_days; pallet_days; cargo_place_days; volume_m3_days; declared_value_rub,"товаро-день; коробо-день; паллето-день; место-день; м³-день; объявленная стоимость, ₽",уровень доступа,access_level,Для ценных товаров,base
oversize_storage,Хранение КГТ,item_days; pallet_days; cargo_place_days; volume_m3_days,товаро-день; паллето-день; место-день; м³-день,зона КГТ,oversize_zone,Для крупногабаритных товаров,base
Отгрузка и доставка
outbound_dispatch,Отгрузка,items; orders; boxes; pallets; cargo_places; vehicles; hours; liters,товар; заказ; короб; паллета; грузовое место; машина; час; литр,FBO / FBS,fulfillment_scheme; handling_unit,Передача груза перевозчику,base
pickup_handover,Выдача товара при самовывозе,orders; shipments; items; boxes; pallets; hours,заказ; отправление; товар; короб; паллета; час,получатель; способ идентификации,handover_recipient; identification_method,"Передача товара получателю на складе оператора: покупателю, селлеру или его курьеру. Отдельная услуга, потому что при самовывозе нет ни перевозчика, ни маршрута: работа заканчивается идентификацией получателя и передачей груза из рук в руки",base
marketplace_delivery,Доставка до маркетплейса,items; deliveries; vehicles; boxes; pallets; cargo_places; weight_kg; volume_m3; distance_km; liters,товар; рейс; машина; короб; паллета; грузовое место; кг; м³; км; литр,маршрут; маркетплейс,route_id; marketplace; handling_unit,Доставка до склада или СЦ,base
return_pickup,Забор возвратов,items; boxes; pallets; cargo_places; vehicles; deliveries; distance_km; weight_kg; volume_m3; hours,товар; короб; паллета; грузовое место; машина; рейс; км; кг; м³; час,маршрут,route_id,Забор возвратного потока,base
Возвраты
return_acceptance,Приёмка возврата,items; orders; boxes; hours,товар; заказ; короб; час,источник возврата,return_source,Регистрация возврата,base
return_inspection,Проверка возврата,items; boxes; hours,товар; короб; час,уровень проверки,inspection_level,Оценка состояния,base
item_restoration,Восстановление товарного вида,items; operations; hours,товар; операция; час,тип работ,restoration_type,"Чистка, переупаковка, замена маркировки",base
return_to_stock,Возврат товара на хранение,items; boxes; pallets; cargo_places; hours,товар; короб; паллета; грузовое место; час,зона хранения,storage_zone,Повторное размещение,base
item_disposal,Утилизация товара,items; boxes; pallets; batches; weight_kg; volume_m3; hours,товар; короб; паллета; партия; кг; м³; час,способ утилизации,disposal_method,Вывод из оборота,base
Кабинеты МП
supply_request_creation,Создание заявки на поставку,requests; hours,заявка; час,маркетплейс,marketplace,Создание поставки в ЛК,base
supply_request_update,Корректировка заявки на поставку,requests; hours,заявка; час,маркетплейс,marketplace,Изменение существующей поставки,base
product_card_creation,Создание карточки товара,cards; hours,карточка; час,маркетплейс,marketplace,Заведение карточки,base
marketplace_account_management,Ведение кабинета маркетплейса,months; turnover_rub; hours,"месяц; оборот, ₽; час",состав работ; маркетплейс,scope_of_work; marketplace,Комплексное ведение кабинета; состав пакета задаётся предложением,base
Товары со сроком годности
expiration_check,Проверка срока годности,items; boxes; batches; hours,товар; короб; партия; час,тип проверки,expiration_check_type,Контроль даты и остаточного срока,industry
Серийный учёт
serial_number_recording,Учёт серийного номера,items; serial_numbers; hours,товар; серийный номер; час,формат номера,serial_number_format,Фиксация серийных номеров,industry
Реальные прайсы
photo_documentation,Фотофиксация товара,items; images; hours,товар; изображение; час,тип фото; количество изображений,photo_type; image_count,"Фото для идентификации, фиксации дефектов или отчёта",base
carton_sealing,Закрытие и фиксация короба,items; boxes; hours,товар; короб; час,способ закрытия; материал включён,sealing_method; material_included,"Фиксация крышки и швов скотчем, скобами или лентой",base
document_printing,Печать документов и вложений,pages; items; hours,страница; документ; час,формат; цветность,print_format; print_color,"Печать инструкций, листовок и сопроводительных документов",base
outer_packaging_removal,Удаление внешней транспортной упаковки,items; boxes; hours,товар; короб; час,тип исходной упаковки,source_packaging_type,Распаковка внешнего транспортного короба или упаковки,base
order_correction,Корректировка заказа,orders; hours,заказ; час,тип корректировки,correction_type,Изменение состава или параметров заказа после создания,base
Расширение по реальным прайсам
inventory_count,Инвентаризация запасов,items; skus; batches; operations; hours,товар; SKU; партия; операция; час,тип; охват,inventory_type; inventory_scope,"Плановый, циклический или выборочный пересчёт фактических запасов",base
product_certification,Сертификация и разрешительные документы,documents; skus; operations; hours,документ; SKU; операция; час,действие; тип документа,certification_action; certification_type,"Консультация, подготовка или оформление сертификата, декларации, СГР либо отказного письма",base
content_production,Создание визуального контента,skus; images; slides; shoots; hours,SKU; изображение; слайд; съёмка; час,тип контента; режим съёмки; обработка,content_type; shooting_mode; editing_included,"Предметная и модельная съёмка, инфографика, ретушь и иные визуальные материалы карточки",base
video_production,Создание видеоконтента,skus; videos; shoots; hours,SKU; видео; съёмка; час,тип видео; длительность; монтаж,video_type; video_duration_seconds; editing_included,"Видео товара, распаковки, упаковки или видеообложка маркетплейса",base
label_layout_creation,Разработка макета этикетки,labels; skus; operations; hours,этикетка; SKU; операция; час,тип макета,label_layout_type,"Создание или редактирование макета этикетки, штрихкода, QR или маркировки",base
marking_code_verification,Проверка кодов маркировки,items; labels; serial_numbers; hours,товар; этикетка; код; час,режим проверки; тип маркировки,marking_verification_mode; marking_type,"Сканирование, валидация, фиксация и отчётность по кодам Честного знака и иной маркировке",base
return_dispatch,Отправка возврата получателю,shipments; orders; items; boxes; pallets; hours,отправление; заказ; товар; короб; паллета; час,получатель; схема исполнения,return_destination; fulfillment_scheme,"Сборка и отправка возврата клиенту, поставщику, маркетплейсу или иному получателю",base
