Категории товаров
"Классификатор товарных категорий, корень any. Категории маркетплейсов сопоставляются отдельными строками в реестре «Версионируемый маппинг категорий»."
Код,Название,Родитель,Назначение
any,Любой товар,,Корень и дефолт
apparel,"Одежда, текстиль и аксессуары",any,"Отпаривание, бирки, плечики"
footwear,Обувь,any,Обувные товары
beauty,Красота и гигиена,any,Сроки годности и особая упаковка
household_chemicals,Бытовая химия,any,Химические и хозяйственные товары
electronics,Электроника и техника,any,Серийный учёт и защита
home,Товары для дома и посуда,any,Хрупкость и защитная упаковка
children,Детские товары,any,Детский ассортимент
food_shelf_stable,Продукты длительного хранения,any,Сроки годности
furniture,Мебель и интерьер,any,КГТ и специальное хранение
construction_garden_auto,"Стройка, сад и автотовары",any,Тяжёлые и габаритные товары
jewelry,Ювелирные изделия и часы,any,Ответственное хранение
