Связи услуг и категорий
Одна строка связывает одну услугу с одной товарной категорией. Используются только коды из справочников.
Код услуги,Код категории
tag_handling,apparel
tag_handling,footwear
tag_handling,jewelry
apparel_steaming,apparel
hanger_preparation,apparel
expiration_check,beauty
expiration_check,household_chemicals
expiration_check,food_shelf_stable
serial_number_recording,electronics
serial_number_recording,jewelry
supplier_pickup,any
inbound_unloading,any
crate_removal,any
goods_acceptance,any
goods_sorting,any
goods_identification,any
quality_inspection,any
dimension_measurement,any
putaway,any
old_label_removal,any
product_marking,any
kitting,any
promotional_insert,any
repacking,any
item_picking,any
order_assembly,any
product_packaging,any
carton_formation,any
pallet_formation,any
pallet_wrapping,any
storage,any
secure_storage,any
oversize_storage,any
outbound_loading,any
outbound_dispatch,any
pickup_handover,any
marketplace_delivery,any
return_pickup,any
return_acceptance,any
return_inspection,any
item_restoration,any
return_to_stock,any
item_disposal,any
supply_request_creation,any
supply_request_update,any
product_card_creation,any
marketplace_account_management,any
photo_documentation,any
carton_sealing,any
document_printing,any
outer_packaging_removal,any
order_correction,any
inventory_count,any
product_certification,any
content_production,any
video_production,any
label_layout_creation,any
marking_code_verification,any
return_dispatch,any
document_handling,any
waste_removal,any
manual_labor,any
marketplace_promotion,any
procurement_support,any
inventory_transfer,any
garment_measurement,apparel
