Пункты назначения — FSP Core
"То, до чего оператор везёт: склады, сортировочные и распределительные центры, транзитные хабы и точки сдачи заказов маркетплейсов. Код неизменяем после публикации (CAT-012). Собирается скриптом из официальных справочников маркетплейсов, руками не правится. Страна в коде ISO 3166-1 alpha-2. Пункты выдачи покупателю в реестр не входят: их десятки тысяч, ссылка на них идёт внешним идентификатором."
Код,Название,Тип,Маркетплейс,Страна,Город,Регион,Внешний ID,Статус
ozon_22038837444000,ПАВЛО_СЛОБОДСКОЕ_РЦ,distribution_center,ozon,RU,,"Москва, МО и Дальние регионы",22038837444000,active
ozon_1020003052910000,РЦ_БУГРЫ_ШОССЕЙНАЯ,distribution_center,ozon,RU,,Санкт-Петербург и СЗО,1020003052910000,active
ozon_1020005018769080,РЦ_ЕКАТЕРИНБУРГ_КУЗНЕЦОВА_WMS,distribution_center,ozon,RU,,Екатеринбург,1020005018769080,active
ozon_1020003227913000,РЦ_КРАСНОДАР_ШАПСУГСКОЕ,distribution_center,ozon,RU,,Краснодар,1020003227913000,active
ozon_1020002243264000,РЦ_СПБ_ЛИГОВСКИЙ_WMS,distribution_center,ozon,RU,,Санкт-Петербург и СЗО,1020002243264000,active
ozon_1020005011157000,РЦ_ФРЕШ_ФУД-СИТИ_WMS,distribution_center,ozon,RU,,"Москва, МО и Дальние регионы",1020005011157000,active
ozon_1020005017273270,ВИДНОЕ_АППЗ_2,drop_off_point,ozon,RU,,"Москва, МО и Дальние регионы",1020005017273270,active
ozon_23963084037000,ВОЛГОГРАД_СППЗ_8 ВОЗДУШНОЙ АРМИИ,drop_off_point,ozon,RU,,Саратов,23963084037000,active
ozon_23964003163000,ВОЛЖСКИЙ_СППЗ_АКАДЕМИКА_КОРОЛЁВА,drop_off_point,ozon,RU,,Саратов,23964003163000,active
ozon_1020002160746000,ВОРОНЕЖ_АППЗ_2,drop_off_point,ozon,RU,,Воронеж,1020002160746000,active
ozon_1020002581497000,ВОРОНЕЖ_АППЗ_3,drop_off_point,ozon,RU,,Воронеж,1020002581497000,active
ozon_23963150422000,ВОРОНЕЖ_СППЗ_45-СТРЕЛКОВОЙ ДИВИЗИИ_62,drop_off_point,ozon,RU,,Воронеж,23963150422000,active
ozon_23888613613000,ЕКАТЕРИНБУРГ_АППЗ_2,drop_off_point,ozon,RU,,Екатеринбург,23888613613000,active
