Оператор и склад — FSP Core 1.0
"Кто оператор и где его склады. Общий словарь для модулей Capacity, Quote, Order и Tracking; ставки и мощности описываются в своих модулях."
Сущность,Поле,Тип,Обязательно,Назначение,Пример
operator,operator_id,id,да,Идентификатор оператора; на него ссылается provider_id в FSP Pricing,operator_sklad
operator,legal_name,string,да,Юрлицо,ООО «Складсервис»
operator,brand_name,string,нет,Витринное имя,Складсервис
operator,status,enum,да,active / paused / draft — участие в маркетплейсе,active
operator,contact_channel,string,да,Куда отдаём лид,tg:@sklad_ff
operator,tax_id,string,нет,"Налоговый идентификатор юрлица в его стране: ИНН в России, VAT number в ЕС. Позволяет проверить контрагента и сверить заявленный режим НДС",7712345678
operator_location,location_id,id,да,Склад оператора (их может быть несколько),loc_sklad_msk
operator_location,operator_id,id,да,Оператор,operator_sklad
operator_location,country,string,да,"Страна склада в коде ISO 3166-1 alpha-2. Без неё склад в Алматы и склад в Астрахани неразличимы по юрисдикции, валюте и режиму НДС",RU
operator_location,city,string,да,Город склада,Москва
operator_location,region,string,да,Регион,Московская область
operator_location,address,string,нет,Адрес склада,"г. Москва, ул. ..."
operator_location,self_pickup,boolean,нет,Возможен самовывоз клиентом со склада,true
