Метрики услуг
Закрытый список допустимых billing_metric для каждой стандартной услуги.
Код услуги,Код метрики,Статус
supplier_pickup,items,allowed
supplier_pickup,boxes,allowed
supplier_pickup,pallets,allowed
supplier_pickup,cargo_places,allowed
supplier_pickup,vehicles,allowed
supplier_pickup,deliveries,allowed
supplier_pickup,distance_km,allowed
supplier_pickup,weight_kg,allowed
supplier_pickup,volume_m3,allowed
supplier_pickup,hours,allowed
inbound_unloading,boxes,allowed
inbound_unloading,pallets,allowed
inbound_unloading,cargo_places,allowed
inbound_unloading,vehicles,allowed
inbound_unloading,weight_kg,allowed
inbound_unloading,volume_m3,allowed
inbound_unloading,hours,allowed
inbound_unloading,items,allowed
crate_removal,items,allowed
crate_removal,boxes,allowed
crate_removal,pallets,allowed
crate_removal,cargo_places,allowed
crate_removal,crates,allowed
crate_removal,volume_m3,allowed
crate_removal,hours,allowed
goods_acceptance,items,allowed
goods_acceptance,boxes,allowed
goods_acceptance,pallets,allowed
goods_acceptance,cargo_places,allowed
goods_acceptance,hours,allowed
goods_sorting,items,allowed
goods_sorting,boxes,allowed
goods_sorting,pallets,allowed
goods_sorting,cargo_places,allowed
goods_sorting,batches,allowed
goods_sorting,hours,allowed
goods_identification,items,allowed
goods_identification,boxes,allowed
goods_identification,cargo_places,allowed
goods_identification,hours,allowed
quality_inspection,items,allowed
quality_inspection,boxes,allowed
quality_inspection,batches,allowed
quality_inspection,hours,allowed
dimension_measurement,items,allowed
dimension_measurement,boxes,allowed
dimension_measurement,pallets,allowed
dimension_measurement,cargo_places,allowed
dimension_measurement,hours,allowed
putaway,items,allowed
putaway,boxes,allowed
putaway,pallets,allowed
putaway,cargo_places,allowed
putaway,volume_m3,allowed
putaway,hours,allowed
old_label_removal,items,allowed
old_label_removal,labels,allowed
old_label_removal,hours,allowed
product_marking,items,allowed
product_marking,labels,allowed
product_marking,hours,allowed
product_marking,orders,allowed
kitting,sets,allowed
kitting,items,allowed
kitting,hours,allowed
promotional_insert,orders,allowed
promotional_insert,items,allowed
promotional_insert,inserts,allowed
promotional_insert,hours,allowed
repacking,items,allowed
repacking,orders,allowed
repacking,boxes,allowed
repacking,pallets,allowed
repacking,hours,allowed
tag_handling,items,allowed
tag_handling,tags,allowed
tag_handling,hours,allowed
apparel_steaming,items,allowed
apparel_steaming,hours,allowed
hanger_preparation,items,allowed
hanger_preparation,hours,allowed
item_picking,items,allowed
item_picking,order_lines,allowed
item_picking,orders,allowed
item_picking,boxes,allowed
item_picking,hours,allowed
order_assembly,orders,allowed
order_assembly,order_lines,allowed
order_assembly,items,allowed
order_assembly,boxes,allowed
order_assembly,hours,allowed
product_packaging,items,allowed
product_packaging,orders,allowed
product_packaging,sets,allowed
product_packaging,boxes,allowed
product_packaging,hours,allowed
carton_formation,boxes,allowed
carton_formation,hours,allowed
pallet_formation,pallets,allowed
pallet_formation,boxes,allowed
pallet_formation,cargo_places,allowed
pallet_formation,hours,allowed
pallet_wrapping,pallets,allowed
pallet_wrapping,layers,allowed
pallet_wrapping,hours,allowed
storage,item_days,allowed
storage,box_days,allowed
storage,pallet_days,allowed
storage,cargo_place_days,allowed
storage,volume_m3_days,allowed
storage,liter_days,allowed
secure_storage,item_days,allowed
secure_storage,box_days,allowed
secure_storage,pallet_days,allowed
secure_storage,cargo_place_days,allowed
secure_storage,volume_m3_days,allowed
secure_storage,declared_value_rub,allowed
oversize_storage,item_days,allowed
oversize_storage,pallet_days,allowed
oversize_storage,cargo_place_days,allowed
oversize_storage,volume_m3_days,allowed
outbound_dispatch,orders,allowed
outbound_dispatch,boxes,allowed
