Причины непокрытия — FSP Quote 1.0
"Закрытый реестр кодов quote_response.unmet. Влияние exclude убирает оператора из выдачи, partial оставляет с fit=partial. Колонка «Что делать оператору» — готовая подсказка для его кабинета."
Код,Группа,Смысл,Влияние,Что делать оператору
category_not_served,Товар,Категория товара не входит в listing.categories_served,exclude,"Добавить категорию в витрину, если фактически работаете с ней"
restricted_attribute,Товар,Атрибут запроса попал в listing.restrictions,exclude,"Снять ограничение, если оно устарело"
size_profile_no_match,Товар,Габариты запроса не попали ни в один класс размерного профиля,partial,Дополнить размерный профиль непокрытыми диапазонами
marketplace_not_served,Канал,Маркетплейс запроса не входит в listing.marketplaces_served,exclude,Добавить маркетплейс в витрину
scheme_not_served,Канал,Схема работы (FBO/FBS/DBS) не входит в listing.schemes_served,exclude,Добавить схему в витрину
destination_not_served,Гео,Ни одно из направлений запроса не обслуживается маршрутами склада,partial,Завести направление в routes и график в route_schedules
origin_not_served,Гео,Забор из указанного города не выполняется,partial,Указать города забора или самовывоз в operator_location
storage_type_unavailable,Мощность,Нужный тип хранения отсутствует в storage_capacity склада,exclude,Добавить строку свободной площади по этому типу хранения
temp_mode_unavailable,Мощность,Нужный температурный режим отсутствует в storage_capacity склада,exclude,Добавить строку свободной площади по этому режиму
insufficient_free_area,Мощность,Свободной площади меньше требуемой или рекомендованной,partial,Обновить свободную площадь: данные могли устареть
insufficient_throughput,Мощность,Свободной пропускной способности меньше требуемой,partial,Обновить пропускную способность
capacity_data_stale,Мощность,storage_capacity.updated_at или throughput_capacity.updated_at старше допустимого срока,partial,Обновить остатки мощности; устаревшие данные понижают выдачу
below_min_volume,Коммерция,Объём запроса ниже listing.min_volume,exclude,Снизить минимальный объём захода или оставить как есть осознанно
below_min_charge,Коммерция,Смета по запросу ниже listing.min_charge,partial,Показать минимальный чек в смете как отдельную строку
not_ready_by_date,Коммерция,listing.ready_from позже желаемого старта,partial,Обновить дату готовности принять
term_too_short,Коммерция,Срок запроса короче listing.contract_min_term,partial,Пересмотреть минимальный срок договора
counterparty_type_not_served,Коммерция,Тип контрагента не входит в listing.counterparty_types,exclude,"Добавить тип контрагента, если работаете с ним"
service_not_priced,Цена,Для нужной услуги в прайсе оператора нет применимого правила,partial,Добавить ставку по этой услуге в прайс
manual_quote_required,Цена,Применимое правило имеет calculation_method=manual_quote,partial,"Проставить ставку там, где цена в прайсе пустая"
pricing_level_insufficient,Цена,Прайс оператора ниже quote_request.pricing_level_min,partial,Поднять уровень описания прайса: условия (L2) или ступени (L3)
rate_card_expired,Цена,Нет active-версии прайса на момент расчёта,exclude,Опубликовать актуальную версию прайса
